"id_empresa","provincia","cod_letra","des_letra","cod_sector","des_sector","cod_tamano","des_tamano","cod_sector_tic","cod_tamano_tic","k","f_exp","tic1_1","tic1_2","tic1_3a","tic1_3b","tic1_3c","tic1_3d","tic2_1","tic2_2","tic2_2_1a","tic2_2_1b","tic2_2_1c","tic2_2_2","tic2_3","tic2_3_1a","tic2_3_1b","tic2_4","tic2_5_pers_ocup_h","tic2_5_pers_ocup_m","tic2_5_pers_ocup_internet_h","tic2_5_pers_ocup_internet_m","tic2_6a","tic2_6b","tic2_6c","tic2_6d","tic2_6e","tic2_6f","tic2_6g","tic2_6h","tic2_6i","tic2_6j","tic2_6k","tic2_7a","tic2_7b","tic2_7c","tic2_7d","tic2_8","tic2_8_1","tic2_8_2a","tic2_8_2b","tic2_8_2c","tic2_8_2d","tic2_8_2e","tic2_8_2f","tic2_8_2f_e","tic2_9","tic2_10","tic2_11","tic3_1","tic3_1_1_ventas","tic3_1_1_ventas_x_internet","tic3_1_1_ventas_x_internet_pais","tic3_1_1_ventas_x_internet_extranjero","tic3_1_2a","tic3_1_2b","tic3_1_2c","tic3_1_2d","tic3_1_2e","tic3_1_2f","tic3_1_2g","tic3_1_2g_e","tic3_2","tic3_2_1_compras","tic3_2_1_compras_x_internet","tic3_2_1_compras_x_internet_pais","tic3_2_1_compras_x_internet_extranjero","tic4_1a","tic4_1b","tic4_1c","tic4_1d","tic4_1e","tic4_1f","tic4_1_1_pers_ocup_h","tic4_1_1_pers_ocup_m","tic4_1_1_pers_ocup_usa_disp_h","tic4_1_1_pers_ocup_usa_disp_m","tic4_2a","tic4_2b","tic4_2c","tic4_2d","tic4_2e","tic4_3","tic4_3_1a","tic4_3_1b","tic4_4a","tic4_4b","tic4_4c","tic4_4d","tic4_4e","tic4_4f","tic4_4g","tic4_4h","tic5_1a","tic5_1b","tic5_1c","tic5_1d","tic5_1e","tic5_1f","tic5_1g","tic5_1h","tic6_1","tic6_1_1_pers_ocup_h","tic6_1_1_pers_ocup_m","tic6_1_1_pers_ocup_especialista_h","tic6_1_1_pers_ocup_especialista_m","tic6_2a","tic6_2b","tic6_2c","Año"
"14793725176",17,"L","Actividades inmobiliarias",5,"Servicios",5,"Grande Empresa",3,2,1,1,2,,,,,,2,,,,,"",,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,8678310,,,,1,2,2,2,2,2,2,"",2,1402323,,,,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,0,1,,,2,2,1,2018
"46704547129",12,"G","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas",3,"Comercio",4,"Mediana Empresa B",2,1,1,1,2,,,,,,2,,,,,"",,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,,,,,2,2,2,2,2,2,1,"NO TIENE INTERNET",2,,,,,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,2,2,2,2018
"13824555171",17,"H","Transporte y almacenamiento",5,"Servicios",4,"Mediana Empresa B",3,1,1,8.36744585654017,2,,,,,,2,,,,,"",,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,4568284,,,,2,2,2,2,2,2,1,"OPERACIONES POR INTER. ESTÁN A CARGO DE AVIANCA EC",2,3792262,,,,0,0,0,0,0,0,,,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2018
"13824731173",17,"L","Actividades inmobiliarias",5,"Servicios",5,"Grande Empresa",3,2,1,1,2,,,,,,2,,,,,"",,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,14018971,,,,1,2,2,2,2,2,2,"",2,1878412,,,,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,,,2,2,1,2018
"14628034177",9,"L","Actividades inmobiliarias",5,"Servicios",5,"Grande Empresa",3,2,1,1,1,1420,100,0,0,0,2,,,,,"",,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,1,2,9632019,,,,2,1,2,2,2,2,2,"",2,1070691,,,,0,1,0,0,0,0,1,0,1,0,2,1,1,2,2,2,,,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,0,,,2,2,2,2018
"14641681092",9,"N","Actividades de servicios administrativos y de apoyo",5,"Servicios",3,"Mediana Empresa A",3,1,1,12.5102974252526,2,,,,,,2,,,,,"",,,,,62,1,62,1,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,,,,,2,2,2,2,2,2,1,"LA EMPRESA NO TIENE INTERNET",2,,,,,0,0,0,0,0,0,62,1,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62,1,,,2,2,2,2018
"14685901171",17,"L","Actividades inmobiliarias",5,"Servicios",4,"Mediana Empresa B",3,1,1,5.69230769230769,1,2496,100,0,0,0,2,,,,,"",,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,3741586,,,,2,2,2,2,2,2,1,"SE RENTA DIRECTAMENTE A OTRA EMRESA DEL MISMO LUGA",2,446660,,,,1,1,0,0,0,0,1,0,1,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,,,2,2,1,2018
"14704448172",17,"J","Información y comunicación",5,"Servicios",4,"Mediana Empresa B",3,1,1,2.85779354907049,2,,,,,,2,,,,,"",,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,2062049,,,,1,2,2,2,2,2,2,"",2,2302912,,,,0,0,0,0,0,0,,,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2018
"14712730138",13,"R","Artes, entretenimiento y recreación",5,"Servicios",5,"Grande Empresa",3,2,1,1.32450331125828,2,,,,,,2,,,,,"",,,,,106,2,106,2,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,5610471,,,,2,2,2,2,2,2,1,"NO TIENE INTERNET",2,819115,,,,0,0,0,0,0,0,106,2,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,106,2,,,2,2,2,2018
"14761945174",17,"G","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas",3,"Comercio",5,"Grande Empresa",2,2,1,1,2,,,,,,2,,,,,"",,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,"",2,2,2,2,,,,,1,2,2,2,2,2,2,"",2,5346252,,,,0,0,0,0,0,0,,,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,1,2018
